"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 22:14:25 GMT 2022","Fri Oct 21 22:14:41 GMT 2022","16006","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"passed","Fri Oct 21 22:13:44 GMT 2022","Fri Oct 21 22:14:03 GMT 2022","18196","","Booking an appointment","","","","Schedule an appointment with client",""
"failed","Fri Oct 21 22:14:03 GMT 2022","Fri Oct 21 22:14:25 GMT 2022","22528","","Booking an appointment","","","","Schedule an overlap appointment with client",""
"passed","Fri Oct 21 22:14:59 GMT 2022","Fri Oct 21 22:15:06 GMT 2022","7529","","Create Account","","","","Creating account on wensite",""
