"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 21:53:28 GMT 2022","Mon Oct 24 21:53:44 GMT 2022","16621","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"failed","Mon Oct 24 21:52:41 GMT 2022","Mon Oct 24 21:53:09 GMT 2022","28212","","Booking an appointment","","","","Schedule an appointment with client",""
"passed","Mon Oct 24 21:54:02 GMT 2022","Mon Oct 24 21:54:09 GMT 2022","6596","","Create Account","","","","Creating account on wensite",""
"passed","Mon Oct 24 21:53:09 GMT 2022","Mon Oct 24 21:53:28 GMT 2022","18499","","Booking an appointment","","","","Schedule an overlap appointment with client",""
