"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 00:04:48 GMT 2022","Tue Oct 25 00:05:00 GMT 2022","11396","","Create Account","","","","Creating account on wensite",""
"failed","Tue Oct 25 00:01:50 GMT 2022","Tue Oct 25 00:02:42 GMT 2022","51398","","Booking an appointment","","","","Schedule an overlap appointment with client",""
"passed","Tue Oct 25 00:02:42 GMT 2022","Tue Oct 25 00:03:44 GMT 2022","62379","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"passed","Tue Oct 25 00:01:06 GMT 2022","Tue Oct 25 00:01:50 GMT 2022","44139","","Booking an appointment","","","","Schedule an appointment with client",""
