"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 28 01:37:45 GMT 2022","Fri Oct 28 01:38:18 GMT 2022","32966","","Booking an appointment","","","","Schedule an overlap appointment with client",""
"passed","Fri Oct 28 01:39:12 GMT 2022","Fri Oct 28 01:39:19 GMT 2022","7035","","Create Account","","","","Creating account on wensite",""
"passed","Fri Oct 28 01:38:18 GMT 2022","Fri Oct 28 01:38:49 GMT 2022","31064","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"passed","Fri Oct 28 01:37:16 GMT 2022","Fri Oct 28 01:37:44 GMT 2022","27983","","Booking an appointment","","","","Schedule an appointment with client",""
