"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 21:37:12 GMT 2022","Mon Oct 24 21:37:20 GMT 2022","7738","","Create Account","","","","Creating account on wensite",""
"passed","Mon Oct 24 21:36:29 GMT 2022","Mon Oct 24 21:36:50 GMT 2022","20494","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"passed","Mon Oct 24 21:36:09 GMT 2022","Mon Oct 24 21:36:29 GMT 2022","20175","","Booking an appointment","","","","Schedule an overlap appointment with client",""
"failed","Mon Oct 24 21:35:40 GMT 2022","Mon Oct 24 21:36:09 GMT 2022","28556","","Booking an appointment","","","","Schedule an appointment with client",""
