"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 20:25:06 GMT 2022","Mon Oct 24 20:25:14 GMT 2022","7989","","Create Account","","","","Creating account on wensite",""
"failed","Mon Oct 24 20:24:08 GMT 2022","Mon Oct 24 20:24:31 GMT 2022","22100","","Booking an appointment","","","","Schedule an overlap appointment with client",""
"passed","Mon Oct 24 20:24:31 GMT 2022","Mon Oct 24 20:24:48 GMT 2022","17130","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"passed","Mon Oct 24 20:23:53 GMT 2022","Mon Oct 24 20:24:08 GMT 2022","15443","","Booking an appointment","","","","Schedule an appointment with client",""
