"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 21 22:27:53 GMT 2022","Fri Oct 21 22:28:16 GMT 2022","23019","","Booking an appointment","","","","Schedule an appointment with client",""
"passed","Fri Oct 21 22:28:30 GMT 2022","Fri Oct 21 22:28:43 GMT 2022","13577","","Booking an appointment","","","","Schedule an appointment missing Price mandatory field",""
"passed","Fri Oct 21 22:28:16 GMT 2022","Fri Oct 21 22:28:29 GMT 2022","13615","","Booking an appointment","","","","Schedule an overlap appointment with client",""
"passed","Fri Oct 21 22:28:58 GMT 2022","Fri Oct 21 22:29:05 GMT 2022","6746","","Create Account","","","","Creating account on wensite",""
